Mega Point,ID,Lat,Long,ACFL,AMCR,AMGO,AMKE,AMRE,AMRO,BADO,BANS,BAOR,BARS,BBCU,BCCH,BGGN,BEKI,BHCO,BLJA,BRTH,CANG,CARW,CEDW,CHSP,CHSW,CLSW,COGR,COHA,CONI,COYE,DICK,DOWO,EABL,EAKI,EATO,EAPH,EAME,EAWP,EUCD,EUST,FISP,GBHE,GCFL,GRCA,GREG,GRGO,GRHE,HAWO,HOFI,HOWR,HOSP,INBU,KILL,LEYE,LISP,LOWA,MALL,MAWR,MIKI,NAWA,MODO,NOBO,NOCA,NOFL,NOMO,NOPA,NRWS,OCWA,OROR,OVEN,PIWO,PUMA,RBGR,RBWO,REVI,RHWO,ROPI,RSHA,RTHA,RTHU,RWBL,SESA,SOSP,SPSA,SSHA,STFL,SUTA,SWTH,TEWA,TRSW,TUTI,TUVU,UEFL,WAVI,WBNU,WCSP,WEVI,WIFL,WTSP,WOTH,YBCH,YBCU,YEWA,YRWA
45,56," 38°53'24.80""N"," 92°21'23.30""W",1,0,4,0,0,20,0,0,0,2,0,10,0,0,8,5,0,0,2,0,1,23,0,6,0,0,0,0,0,5,0,0,2,0,6,0,3,0,0,0,0,0,0,0,0,14,5,9,0,0,0,0,0,0,0,0,0,1,0,14,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
48,61," 38°55'21.72""N"," 92°20'44.84""W",1,2,5,0,0,12,0,0,0,0,0,20,3,0,6,3,0,0,4,0,0,2,0,4,0,0,0,0,1,0,0,0,2,0,6,0,5,0,0,0,0,0,0,0,0,14,4,15,0,0,0,0,0,0,0,0,0,0,0,29,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,5,0,1,0,4,0,0,0,0,0,0,1,0,0
49,59," 38°55'5.87""N"," 92°20'44.05""W",0,6,7,0,0,45,0,0,0,0,0,43,0,0,12,12,0,0,4,0,5,4,0,3,0,0,0,0,4,6,0,0,0,0,9,0,29,0,0,1,2,0,0,0,2,17,33,45,0,0,0,0,0,0,0,0,0,8,0,46,1,0,1,0,0,0,0,0,0,0,12,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0
50,54," 38°53'1.94""N"," 92°22'34.62""W",0,0,14,0,0,22,0,0,3,14,1,55,3,1,88,12,4,2,4,0,6,20,0,26,0,0,0,0,3,12,10,0,7,0,10,0,53,0,0,0,3,1,0,0,2,24,6,15,5,1,0,0,0,0,0,0,0,24,0,58,0,10,2,0,0,5,0,0,0,1,17,1,0,0,0,0,0,6,0,0,0,0,0,2,0,0,20,10,0,0,0,6,0,2,0,0,0,0,1,2,0
51,53," 38°52'50.61""N"," 92°22'29.29""W",0,1,11,0,0,59,0,0,0,11,0,17,0,0,10,13,0,6,5,0,12,15,0,6,0,0,0,0,1,0,0,0,2,0,8,0,54,0,1,0,1,0,0,0,2,11,16,87,1,0,0,0,0,0,0,0,0,15,0,25,0,5,2,0,0,0,0,0,4,0,6,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,3,0,0,0,0,0,0,1,0,0
52,55," 38°53'9.07""N"," 92°21'43.41""W",0,0,1,0,0,71,0,0,0,0,0,59,0,0,6,19,0,0,5,0,9,0,0,12,0,0,0,0,2,4,0,0,3,0,25,0,7,0,0,2,1,0,0,0,4,5,5,17,0,0,0,0,0,0,0,0,0,5,0,41,1,1,1,0,0,0,0,0,0,0,12,2,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,17,0,0,0,7,0,0,1,0,3,0,0,1,1
53,74," 38°54'55.01""N"," 92°16'27.31""W",0,3,1,0,0,34,0,0,0,10,0,12,0,0,13,2,0,10,1,0,9,11,0,11,0,0,0,0,0,6,1,0,9,0,3,0,8,0,0,0,1,0,0,0,2,8,8,10,0,0,0,0,0,0,0,0,0,6,0,20,1,0,1,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,1
54,75," 38°54'53.20""N"," 92°16'11.01""W",0,3,0,0,0,33,0,0,0,4,0,9,0,0,5,8,0,7,3,0,9,9,0,0,0,0,0,0,1,1,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,6,2,17,1,2,0,0,0,0,0,0,0,6,1,29,1,1,0,0,0,0,0,0,1,0,7,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0
55,85," 38°57'13.85""N"," 92°15'11.86""W",0,2,2,1,0,68,0,0,0,31,0,11,0,0,16,10,0,0,3,0,4,0,0,23,0,1,0,0,0,1,0,0,3,0,7,0,51,0,0,0,1,0,0,0,1,11,6,210,1,0,0,0,0,0,0,0,0,13,0,29,1,1,1,0,0,0,0,0,0,0,5,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
56,90," 38°57'56.39""N"," 92°16'8.14""W",0,22,2,0,0,26,0,0,0,0,0,11,0,0,13,10,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,2,0,180,0,0,1,0,0,0,0,0,12,2,79,0,0,0,0,0,0,0,0,0,4,0,25,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,91," 38°57'47.61""N"," 92°15'32.98""W",0,0,1,0,0,34,0,0,0,0,0,4,0,0,10,23,0,0,1,0,19,3,0,8,0,0,0,0,0,0,3,0,1,0,7,0,194,0,0,0,1,0,0,0,0,5,1,89,0,2,0,0,0,0,0,0,0,9,0,12,1,3,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
58,94," 38°58'26.95""N"," 92°15'31.30""W",0,3,0,0,0,51,0,0,0,4,0,9,0,0,8,16,1,4,3,0,12,3,0,28,0,0,0,0,1,8,0,0,0,0,3,0,107,0,0,0,0,0,0,0,1,20,13,57,0,0,0,0,0,0,0,0,0,8,0,41,0,2,0,0,0,0,0,0,16,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
59,93," 38°58'14.88""N"," 92°14'58.77""W",0,1,0,0,0,47,0,0,0,5,0,10,0,0,20,3,0,55,0,17,4,2,0,13,0,0,0,0,0,0,0,0,2,0,3,0,45,0,1,0,1,0,0,0,0,9,17,85,0,0,0,0,0,1,0,0,0,12,0,17,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0
60,96," 38°58'55.25""N"," 92°15'55.69""W",1,6,2,0,0,23,0,0,0,0,0,21,5,0,1,10,0,3,0,0,1,0,0,2,0,0,0,0,2,0,0,0,3,0,8,1,6,0,0,0,0,0,0,0,1,12,1,33,3,0,0,0,0,0,0,0,0,6,0,19,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5,1,0,0,3,0,0,0,0,0,0,0,0,0
61,99," 38°58'51.73""N"," 92°15'21.81""W",1,3,2,0,0,17,0,0,0,1,0,11,2,0,16,4,0,3,2,0,5,0,0,3,0,0,0,0,1,1,0,0,3,0,3,0,12,0,0,0,0,0,0,0,0,11,5,28,2,0,0,0,0,0,0,0,0,9,0,21,0,1,2,0,0,0,0,0,0,0,3,0,0,9,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
62,100," 38°58'59.25""N"," 92°15'20.76""W",2,0,0,10,0,0,0,6,0,13,1,0,18,4,0,18,0,0,1,0,0,8,0,0,0,0,0,1,0,1,5,0,3,0,11,0,4,1,0,0,0,3,1,4,3,12,4,3,0,0,2,0,1,0,0,9,0,21,0,0,6,1,0,0,0,0,0,0,2,0,0,5,0,0,0,35,0,0,0,0,0,0,0,0,8,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
63,97," 38°59'0.56""N"," 92°15'40.47""W",0,0,9,0,0,19,0,0,0,8,0,2,0,0,1,1,0,0,0,0,1,3,0,5,0,0,0,0,0,0,0,0,1,0,1,0,38,0,0,0,0,0,0,0,0,17,2,67,0,1,0,0,0,0,0,0,0,7,0,15,1,1,6,0,0,0,0,0,0,0,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
64,98," 38°59'9.25""N"," 92°15'19.80""W",0,0,2,0,0,33,0,0,0,0,0,2,0,0,3,1,0,1,1,6,3,0,0,18,0,0,0,0,0,0,0,0,1,0,1,4,33,0,0,0,1,0,0,0,1,9,10,28,0,0,0,0,0,0,0,0,0,15,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
65,23," 38°58'14.97""N"," 92°20'18.57""W",0,1,0,0,0,35,0,0,0,0,0,20,0,0,2,1,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1,0,0,0,46,0,0,0,0,0,0,0,0,8,11,35,0,0,0,0,0,0,0,0,0,7,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0
66,27," 38°58'29.67""N"," 92°22'46.57""W",0,1,4,0,0,37,0,0,0,0,0,8,0,0,0,10,0,4,1,0,0,2,0,10,0,0,0,0,0,1,0,0,1,0,1,0,27,0,0,0,0,0,0,0,0,2,15,32,0,0,0,0,0,0,0,0,0,10,0,13,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1
67,30," 38°58'58.17""N"," 92°23'1.44""W",0,1,17,0,0,16,0,0,0,8,0,8,0,0,10,3,1,0,2,0,15,0,0,4,0,0,0,0,0,2,0,0,0,0,13,0,3,0,0,0,0,0,0,0,0,23,7,2,1,0,0,0,0,0,0,0,0,0,0,13,1,2,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,4,0,0,0,0
68,31," 38°59'20.49""N"," 92°23'17.23""W",1,0,11,0,0,15,0,0,0,2,0,10,0,0,11,4,0,3,4,5,3,4,0,7,0,0,0,0,0,0,1,0,4,0,9,0,15,0,1,0,1,0,0,0,0,7,2,10,2,0,0,0,0,0,0,0,0,6,0,22,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,1,0,1,0,0,2,0,1,0,0
69,28," 38°58'39.34""N"," 92°22'47.95""W",0,1,2,0,0,67,0,0,0,1,0,14,1,0,17,19,0,0,1,13,0,4,0,66,0,0,0,0,0,0,0,0,0,0,2,0,97,2,0,0,3,0,0,0,2,11,10,262,0,0,0,0,0,0,0,0,0,17,0,35,4,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1
71,32," 38°57'33.17""N"," 92°24'2.29""W",0,1,7,0,0,34,0,0,0,6,0,1,0,0,3,1,0,0,1,0,14,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,18,0,0,0,0,0,0,0,0,8,0,71,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,22," 38°58'3.01""N"," 92°19'22.30""W",0,0,0,0,0,30,0,0,0,2,0,12,0,0,2,17,0,0,1,32,0,10,0,14,0,0,0,0,0,0,0,0,0,0,1,0,72,0,0,0,4,0,0,0,1,4,0,13,1,0,0,0,0,0,0,0,0,17,0,25,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0
74,19," 38°58'22.42""N"," 92°19'1.62""W",0,1,1,0,0,15,0,0,0,12,0,3,0,0,6,5,0,40,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,2,0,49,0,0,0,0,0,3,0,0,7,19,63,0,0,0,0,0,0,0,0,0,10,0,16,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
73,20," 38°58'19.51""N"," 92°18'49.71""W",0,0,2,0,0,27,0,3,0,14,0,1,0,0,4,6,0,56,0,1,3,0,0,41,0,0,0,0,0,0,0,0,1,0,1,0,51,0,1,0,0,0,7,0,0,4,6,66,0,20,2,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,2,0,1,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0
75,21," 38°58'29.95""N"," 92°19'20.46""W",0,3,0,0,0,19,0,0,0,0,0,4,0,0,2,7,0,10,0,0,0,0,0,17,0,0,0,0,0,3,0,0,0,0,4,0,78,0,0,1,0,0,0,0,0,3,5,56,0,0,0,0,0,0,0,0,0,6,0,12,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
76,18," 38°58'36.35""N"," 92°18'52.37""W",0,10,2,0,0,23,0,0,0,0,0,4,0,1,6,8,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,33,0,0,0,0,0,0,0,1,6,0,184,3,0,0,0,0,0,0,0,0,5,0,23,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
77,16," 38°58'46.99""N"," 92°18'51.83""W",0,2,0,0,0,34,0,0,0,0,0,5,0,0,11,8,2,0,0,0,3,0,0,5,0,0,0,0,2,0,1,0,1,0,1,0,36,0,0,0,0,0,0,0,1,12,9,54,0,0,0,0,0,0,0,0,2,11,0,30,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,2
78,17," 38°58'48.80""N"," 92°19'10.52""W",0,3,0,0,0,7,0,0,0,6,0,13,0,0,20,4,0,0,1,0,1,0,0,3,0,0,0,0,0,0,1,1,0,0,2,0,19,0,0,0,2,0,0,0,0,4,1,51,0,1,0,0,0,0,0,0,1,4,0,32,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24,5,0,0,0,0,0,0,1,0,0,0,0,1,1
79,9," 38°59'4.15""N"," 92°20'2.67""W",0,3,5,0,0,16,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,11,1,64,0,1,0,0,0,0,0,0,0,11,0,13,0,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
80,10," 38°59'17.49""N"," 92°18'50.39""W",0,1,6,0,0,58,0,0,3,0,0,17,0,0,5,7,0,0,1,0,1,0,0,45,0,0,0,0,0,0,0,0,3,0,1,0,41,0,0,0,0,0,0,0,1,7,14,27,0,1,0,0,0,0,0,0,0,13,0,25,1,1,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0
81,11," 38°59'25.44""N"," 92°18'14.17""W",0,3,1,1,0,75,0,0,1,3,0,29,0,0,15,18,0,0,6,0,0,30,0,42,0,0,0,0,1,3,0,0,1,0,16,0,52,0,0,0,1,0,0,0,3,7,33,109,0,0,0,0,0,0,0,0,0,25,0,52,1,3,4,0,0,0,0,0,0,0,10,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,5,0,0,0,4,0,0,0,1,0,0,0,1,1
82,15," 38°58'35.96""N"," 92°18'19.01""W",0,3,0,0,0,30,0,0,0,0,0,11,0,0,5,15,0,0,3,0,0,3,0,39,0,0,0,0,1,0,0,0,0,0,2,0,94,0,1,0,0,0,0,0,0,9,10,103,0,0,0,0,0,0,0,0,0,16,0,20,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
83,14," 38°58'35.53""N"," 92°17'38.57""W",0,1,7,0,0,45,0,0,0,0,0,9,0,0,12,13,1,0,0,2,0,0,0,42,0,0,0,0,0,0,0,0,0,0,3,0,72,0,0,0,1,0,0,0,0,5,2,12,0,1,0,0,0,0,0,0,0,8,0,28,2,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0
84,13," 38°59'0.20""N"," 92°17'46.81""W",0,9,4,0,0,35,0,0,0,0,0,28,0,0,11,11,0,0,1,0,1,11,0,9,0,0,0,0,1,1,0,0,0,0,5,0,84,0,0,0,0,0,0,0,1,11,8,91,0,0,0,0,0,0,0,0,0,7,0,13,0,1,1,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,1,0
85,8," 38°59'48.75""N"," 92°20'16.03""W",0,4,0,0,0,9,0,0,0,73,0,11,1,0,21,5,0,0,1,0,3,0,0,10,0,0,0,0,0,0,0,0,4,2,0,0,44,0,0,0,0,0,0,0,0,15,10,37,1,0,0,0,0,0,0,0,1,9,0,19,1,9,6,0,0,0,0,0,0,0,6,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,5,6,0,0,2,2,0,0,0,0,1,0,0,2
86,5," 39° 0'15.32""N"," 92°20'10.90""W",1,4,5,0,0,57,0,0,0,42,0,11,0,0,4,4,1,0,2,0,25,0,0,14,0,0,0,0,2,1,0,0,0,0,3,0,100,0,1,0,1,0,0,0,0,19,6,80,0,4,0,1,0,0,0,0,0,13,0,26,1,14,2,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
87,4," 39° 0'38.66""N"," 92°20'18.72""W",0,1,2,0,0,41,0,0,2,0,0,9,0,0,2,13,0,0,0,0,2,0,0,25,0,0,0,0,0,0,0,0,1,0,2,0,72,0,0,0,1,0,0,0,1,6,8,42,0,0,0,0,0,0,0,0,0,11,0,31,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
88,7," 39° 0'22.05""N"," 92°19'49.43""W",0,0,0,0,0,16,0,0,1,48,0,2,0,1,26,4,1,42,3,0,14,0,0,65,0,0,0,0,0,0,4,0,0,0,0,0,47,1,0,1,1,0,0,2,0,6,4,30,2,6,0,0,0,0,0,0,0,24,2,13,0,11,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,33,1,0,0,0,1,0,0,0,0,0,0,1,1,1
89,3," 39° 0'25.37""N"," 92°17'5.93""W",1,1,2,0,0,12,0,0,3,12,0,4,2,0,10,6,0,0,0,20,2,0,0,3,0,0,0,1,0,2,0,0,4,3,0,0,90,10,0,0,1,0,0,0,0,1,5,2,2,2,0,0,0,0,0,0,1,5,1,13,0,3,4,0,0,0,0,0,0,0,3,0,0,0,0,2,0,41,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,0,0,0,1,0,1,1
90,1," 39° 1'2.45""N"," 92°16'44.81""W",0,1,3,1,0,38,0,0,0,73,0,4,0,0,15,7,1,0,0,0,21,0,0,46,0,6,1,15,0,1,0,0,0,10,0,0,36,3,0,0,0,0,0,0,0,15,5,78,2,2,0,0,0,0,0,0,0,13,2,8,0,20,0,0,1,0,0,0,0,0,60,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,4,1,11,0,0,0
